Date : 2021-07-01 22:33:06
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 934 files,  77753 codes, 1774 comments, 18221 blanks, all 97748 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                                     |          1 |         28 |          0 |          6 |         34 |
| Workspaces\GameData\Stable\Kits\Meat                                                                                                                                                |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun                                                                                                                                            |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                                       |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom                                                                                                                                                               |        689 |     60,632 |      1,005 |     12,954 |     74,591 |
| Workspaces\PatnicRoom\GameData                                                                                                                                                      |         37 |      1,097 |          0 |        387 |      1,484 |
| Workspaces\PatnicRoom\GameData\Stable                                                                                                                                               |         37 |      1,097 |          0 |        387 |      1,484 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes                                                                                                                              |         17 |        420 |          0 |        130 |        550 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Races                                                                                                                        |          5 |        117 |          0 |         38 |        155 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Roles                                                                                                                        |          6 |        162 |          0 |         45 |        207 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Specialties                                                                                                                  |          6 |        141 |          0 |         47 |        188 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_RNG_Templates                                                                                                                           |          2 |         34 |          0 |         16 |         50 |
| Workspaces\PatnicRoom\GameData\Stable\Kits                                                                                                                                          |         18 |        643 |          0 |        241 |        884 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic                                                                                                                                    |         11 |        356 |          0 |        130 |        486 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion                                                                                                                           |          2 |         86 |          0 |         40 |        126 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                      |          2 |         86 |          0 |         40 |        126 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell                                                                                                                              |          9 |        270 |          0 |         90 |        360 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                         |          3 |        132 |          0 |         61 |        193 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell\Mod                                                                                                                          |          6 |        138 |          0 |         29 |        167 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix                                                                                                                                   |          6 |        242 |          0 |         92 |        334 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                         |          2 |         91 |          0 |         22 |        113 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                    |          2 |         91 |          0 |         22 |        113 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack                                                                                                                              |          4 |        151 |          0 |         70 |        221 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                         |          3 |        122 |          0 |         64 |        186 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                          |          1 |         29 |          0 |          6 |         35 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat                                                                                                                                     |          1 |         45 |          0 |         19 |         64 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun                                                                                                                                 |          1 |         45 |          0 |         19 |         64 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                            |          1 |         45 |          0 |         19 |         64 |
| Workspaces\PatnicRoom\Indexes                                                                                                                                                       |         22 |        655 |          1 |        369 |      1,025 |
| Workspaces\PatnicRoom\Indexes\Components                                                                                                                                            |          3 |         90 |          0 |         29 |        119 |
| Workspaces\PatnicRoom\Indexes\Enums                                                                                                                                                 |          9 |        269 |          0 |        108 |        377 |
| Workspaces\PatnicRoom\Indexes\Syntax                                                                                                                                                |          4 |        150 |          0 |        122 |        272 |
| Workspaces\PatnicRoom\Media                                                                                                                                                         |         20 |     10,234 |          0 |         14 |     10,248 |
| Workspaces\PatnicRoom\Media\FixedDays Font                                                                                                                                          |          4 |         24 |          0 |         11 |         35 |
| Workspaces\PatnicRoom\Media\TileMap                                                                                                                                                 |          7 |      1,034 |          0 |          0 |      1,034 |
| Workspaces\PatnicRoom\Media\TileMap\Special                                                                                                                                         |          3 |        327 |          0 |          0 |        327 |
| Workspaces\PatnicRoom\Media\TileMap\custome                                                                                                                                         |          3 |        537 |          0 |          0 |        537 |
| Workspaces\PatnicRoom\Media\Tilesets                                                                                                                                                |          9 |      9,176 |          0 |          3 |      9,179 |
| Workspaces\PatnicRoom\Media\Tilesets\JSON                                                                                                                                           |          8 |      7,033 |          0 |          0 |      7,033 |
| Workspaces\PatnicRoom\Meta                                                                                                                                                          |          1 |          5 |          0 |          5 |         10 |
| Workspaces\PatnicRoom\Src                                                                                                                                                           |        386 |     31,733 |        443 |      8,558 |     40,734 |
| Workspaces\PatnicRoom\Src\Bootstrap                                                                                                                                                 |         13 |      1,141 |         29 |        307 |      1,477 |
| Workspaces\PatnicRoom\Src\Bootstrap\Engines                                                                                                                                         |          3 |         33 |         11 |         34 |         78 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit                                                                                                                                        |          7 |        934 |          0 |        192 |      1,126 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit\Submenues                                                                                                                              |          6 |        904 |          0 |        163 |      1,067 |
| Workspaces\PatnicRoom\Src\Bootstrap\Parameters                                                                                                                                      |          1 |         48 |         11 |         55 |        114 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework                                                                                                                                         |         66 |      1,674 |        254 |      1,552 |      3,480 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\ArisPROCGENes                                                                                                                           |          1 |          2 |          3 |         12 |         17 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DavINCi                                                                                                                                 |         16 |        430 |         29 |        417 |        876 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DavINCi\FSM_Panic                                                                                                                       |          7 |        210 |         18 |        214 |        442 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DavINCi\FSM_Panic\MouseLogik                                                                                                            |          3 |        122 |          7 |         94 |        223 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DavINCi\FSM_Rest                                                                                                                        |          3 |         82 |          3 |         63 |        148 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DavINCi\System                                                                                                                          |          2 |         31 |          2 |         33 |         66 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS                                                                                                                              |         27 |        675 |        179 |        634 |      1,488 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities                                                                                                                     |         13 |        314 |        104 |        290 |        708 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Effect                                                                                                              |          3 |        108 |         23 |         83 |        214 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet                                                                                                              |          5 |         63 |         42 |         76 |        181 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet\Kit Modules                                                                                                  |          4 |         40 |         21 |         46 |        107 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager                                                                                                                      |          8 |        226 |         40 |        193 |        459 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager                                                                                                        |          5 |        141 |         34 |        121 |        296 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager\types                                                                                                  |          3 |         32 |          6 |         36 |         74 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Module Structure                                                                                                             |          2 |         66 |          6 |         77 |        149 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\parts of Entities                                                                                                            |          3 |         57 |         21 |         63 |        141 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes                                                                                                                               |         14 |        356 |         20 |        315 |        691 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser                                                                                                                        |         13 |        347 |         19 |        306 |        672 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Common                                                                                                                 |          4 |        202 |         11 |        168 |        381 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect                                                                                                                 |          8 |        119 |          8 |        114 |        241 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts                                                                                                    |          7 |         92 |          6 |         87 |        185 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts\Slots                                                                                              |          6 |         84 |          0 |         74 |        158 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Tilesets                                                                                                               |          1 |         26 |          0 |         24 |         50 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL                                                                                                                                   |          1 |          1 |          0 |          2 |          3 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs                                                                                                                              |          7 |        210 |         23 |        172 |        405 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork                                                                                                                    |          6 |        168 |         21 |        147 |        336 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\Chunk Visualicer                                                                                                   |          5 |         96 |          0 |         88 |        184 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\TilemapParse                                                                                                       |          1 |         72 |         21 |         59 |        152 |
| Workspaces\PatnicRoom\Src\Components                                                                                                                                                |         80 |      1,542 |          0 |        554 |      2,096 |
| Workspaces\PatnicRoom\Src\Components\Flags                                                                                                                                          |          8 |        122 |          0 |         38 |        160 |
| Workspaces\PatnicRoom\Src\Components\Template                                                                                                                                       |          1 |         17 |          0 |         10 |         27 |
| Workspaces\PatnicRoom\Src\Modules                                                                                                                                                   |        101 |      2,339 |        144 |      2,180 |      4,663 |
| Workspaces\PatnicRoom\Src\Modules\001_Atlas                                                                                                                                         |          8 |        153 |         17 |        225 |        395 |
| Workspaces\PatnicRoom\Src\Modules\001_Atlas\Controller                                                                                                                              |          1 |         40 |          3 |         26 |         69 |
| Workspaces\PatnicRoom\Src\Modules\001_Atlas\SubAtlas                                                                                                                                |          7 |        113 |         14 |        199 |        326 |
| Workspaces\PatnicRoom\Src\Modules\001_Atlas\SubAtlas\Actor                                                                                                                          |          4 |         27 |          6 |        100 |        133 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure                                                                                                                             |         14 |        231 |         37 |        256 |        524 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Controller                                                                                                                  |          1 |         49 |          4 |         37 |         90 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\IO                                                                                                                          |          2 |         21 |          0 |         27 |         48 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems                                                                                                                     |         11 |        161 |         33 |        192 |        386 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer                                                                                                               |         10 |        146 |         33 |        172 |        351 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer\Actor                                                                                                         |          2 |         30 |          9 |         34 |         73 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer\Animation                                                                                                     |          2 |         53 |          6 |         69 |        128 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer\Magic                                                                                                         |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer\Matrix                                                                                                        |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Modules\002_Tilemap_Structure\Systems\Layer\Meat                                                                                                          |          2 |         47 |         14 |         45 |        106 |
| Workspaces\PatnicRoom\Src\Modules\003_Entropy                                                                                                                                       |          2 |         17 |          2 |         22 |         41 |
| Workspaces\PatnicRoom\Src\Modules\003_Entropy\Controller                                                                                                                            |          1 |         15 |          2 |         18 |         35 |
| Workspaces\PatnicRoom\Src\Modules\003_Entropy\io                                                                                                                                    |          1 |          2 |          0 |          4 |          6 |
| Workspaces\PatnicRoom\Src\Modules\004_KitSet                                                                                                                                        |          6 |        215 |         17 |        193 |        425 |
| Workspaces\PatnicRoom\Src\Modules\004_KitSet\Controller                                                                                                                             |          1 |         20 |          7 |         36 |         63 |
