Date : 2021-05-23 23:28:43
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 694 files,  66876 codes, 1726 comments, 14223 blanks, all 82825 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Workspaces\DioJSONes\personal generated content                                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| Workspaces\GameData                                                                                                                                                               |         32 |        836 |          0 |        316 |      1,152 |
| Workspaces\GameData\Personal                                                                                                                                                      |          5 |          5 |          0 |          0 |          5 |
| Workspaces\GameData\Stable                                                                                                                                                        |         27 |        831 |          0 |        316 |      1,147 |
| Workspaces\GameData\Stable\Actor_Attributes                                                                                                                                       |         16 |        377 |          0 |        125 |        502 |
| Workspaces\GameData\Stable\Actor_Attributes\Races                                                                                                                                 |          5 |        112 |          0 |         40 |        152 |
| Workspaces\GameData\Stable\Actor_Attributes\Roles                                                                                                                                 |          6 |        150 |          0 |         45 |        195 |
| Workspaces\GameData\Stable\Actor_Attributes\Specialties                                                                                                                           |          5 |        115 |          0 |         40 |        155 |
| Workspaces\GameData\Stable\Kits                                                                                                                                                   |         11 |        454 |          0 |        191 |        645 |
| Workspaces\GameData\Stable\Kits\Magic                                                                                                                                             |          4 |        174 |          0 |         81 |        255 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion                                                                                                                                    |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                               |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Spell                                                                                                                                       |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                                  |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Matrix                                                                                                                                            |          6 |        236 |          0 |         91 |        327 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                                  |          2 |         89 |          0 |         21 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                             |          2 |         89 |          0 |         21 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack                                                                                                                                       |          4 |        147 |          0 |         70 |        217 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                                  |          3 |        119 |          0 |         64 |        183 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                                   |          1 |         28 |          0 |          6 |         34 |
| Workspaces\GameData\Stable\Kits\Meat                                                                                                                                              |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun                                                                                                                                          |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                                     |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom                                                                                                                                                             |        483 |     45,712 |        934 |      9,149 |     55,795 |
| Workspaces\PatnicRoom\GameData                                                                                                                                                    |         27 |        831 |          0 |        316 |      1,147 |
| Workspaces\PatnicRoom\GameData\Stable                                                                                                                                             |         27 |        831 |          0 |        316 |      1,147 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes                                                                                                                            |         16 |        377 |          0 |        125 |        502 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Races                                                                                                                      |          5 |        112 |          0 |         40 |        152 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Roles                                                                                                                      |          6 |        150 |          0 |         45 |        195 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Specialties                                                                                                                |          5 |        115 |          0 |         40 |        155 |
| Workspaces\PatnicRoom\GameData\Stable\Kits                                                                                                                                        |         11 |        454 |          0 |        191 |        645 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic                                                                                                                                  |          4 |        174 |          0 |         81 |        255 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion                                                                                                                         |          1 |         45 |          0 |         20 |         65 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                    |          1 |         45 |          0 |         20 |         65 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell                                                                                                                            |          3 |        129 |          0 |         61 |        190 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                       |          3 |        129 |          0 |         61 |        190 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix                                                                                                                                 |          6 |        236 |          0 |         91 |        327 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                       |          2 |         89 |          0 |         21 |        110 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                  |          2 |         89 |          0 |         21 |        110 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack                                                                                                                            |          4 |        147 |          0 |         70 |        217 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                       |          3 |        119 |          0 |         64 |        183 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                        |          1 |         28 |          0 |          6 |         34 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat                                                                                                                                   |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun                                                                                                                               |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                          |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\Media                                                                                                                                                       |         26 |     10,771 |          0 |         15 |     10,786 |
| Workspaces\PatnicRoom\Media\FixedDays Font                                                                                                                                        |          4 |         22 |          0 |         11 |         33 |
| Workspaces\PatnicRoom\Media\TileMap                                                                                                                                               |         13 |      1,515 |          0 |          1 |      1,516 |
| Workspaces\PatnicRoom\Media\TileMap\custome                                                                                                                                       |          7 |        847 |          0 |          1 |        848 |
| Workspaces\PatnicRoom\Media\Tilesets                                                                                                                                              |          9 |      9,234 |          0 |          3 |      9,237 |
| Workspaces\PatnicRoom\Media\Tilesets\JSON                                                                                                                                         |          8 |      7,091 |          0 |          0 |      7,091 |
| Workspaces\PatnicRoom\Meta                                                                                                                                                        |          1 |          5 |          0 |          5 |         10 |
| Workspaces\PatnicRoom\Src                                                                                                                                                         |        358 |     24,620 |        377 |      6,876 |     31,873 |
| Workspaces\PatnicRoom\Src\Bootstrap                                                                                                                                               |         13 |      1,116 |         28 |        278 |      1,422 |
| Workspaces\PatnicRoom\Src\Bootstrap\Engines                                                                                                                                       |          3 |         34 |         11 |         35 |         80 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit                                                                                                                                      |          7 |        920 |          0 |        172 |      1,092 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit\Submenues                                                                                                                            |          6 |        890 |          0 |        143 |      1,033 |
| Workspaces\PatnicRoom\Src\Bootstrap\Parameters                                                                                                                                    |          1 |         40 |         10 |         50 |        100 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework                                                                                                                                       |         57 |      1,272 |        187 |      1,036 |      2,495 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\ArisPROCGENes                                                                                                                         |          1 |          2 |          3 |         12 |         17 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS                                                                                                                            |         29 |        700 |        143 |        590 |      1,433 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities                                                                                                                   |         15 |        332 |         76 |        269 |        677 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Effect                                                                                                            |          3 |        103 |         20 |         80 |        203 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet                                                                                                            |          5 |         62 |         37 |         77 |        176 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet\Kit Modules                                                                                                |          4 |         40 |         18 |         46 |        104 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Player                                                                                                            |          3 |         72 |          3 |         37 |        112 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Player\Belongings                                                                                                 |          2 |         34 |          0 |         16 |         50 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager                                                                                                                    |          8 |        247 |         37 |        195 |        479 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager                                                                                                      |          5 |        162 |         31 |        123 |        316 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager\types                                                                                                |          3 |         37 |         12 |         41 |         90 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Module Structure                                                                                                           |          2 |         66 |          6 |         77 |        149 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\parts of Entities                                                                                                          |          3 |         43 |         17 |         43 |        103 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes                                                                                                                             |         12 |        246 |         11 |        187 |        444 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser                                                                                                                      |         11 |        238 |         10 |        179 |        427 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Common                                                                                                               |          2 |         82 |          4 |         48 |        134 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect                                                                                                               |          8 |        130 |          6 |        107 |        243 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts                                                                                                  |          7 |         91 |          6 |         89 |        186 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts\Slots                                                                                            |          6 |         83 |          0 |         76 |        159 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Tilesets                                                                                                             |          1 |         26 |          0 |         24 |         50 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL                                                                                                                                 |          6 |         40 |          0 |         36 |         76 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Condition                                                                                                                       |          3 |         16 |          0 |         18 |         34 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Rulesets                                                                                                                        |          1 |          5 |          0 |          2 |          7 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Stats                                                                                                                           |          1 |          5 |          0 |          6 |         11 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SYNTAX                                                                                                                                |          2 |         64 |          7 |         40 |        111 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs                                                                                                                            |          7 |        220 |         23 |        171 |        414 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork                                                                                                                  |          6 |        169 |         21 |        146 |        336 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\Chunk Visualicer                                                                                                 |          5 |         96 |          0 |         88 |        184 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\TilemapParse                                                                                                     |          1 |         73 |         21 |         58 |        152 |
| Workspaces\PatnicRoom\Src\Components                                                                                                                                              |         80 |      1,555 |          8 |        521 |      2,084 |
| Workspaces\PatnicRoom\Src\Components\Flags                                                                                                                                        |          8 |        122 |          0 |         38 |        160 |
| Workspaces\PatnicRoom\Src\Components\Injected Comp                                                                                                                                |          1 |         54 |          8 |          5 |         67 |
| Workspaces\PatnicRoom\Src\Logic                                                                                                                                                   |        112 |      2,710 |        143 |      2,152 |      5,005 |
| Workspaces\PatnicRoom\Src\Logic\Modules                                                                                                                                           |         90 |      1,970 |        136 |      1,773 |      3,879 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas                                                                                                                                 |          7 |        128 |         13 |        194 |        335 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\Controller                                                                                                                      |          1 |         33 |          3 |         20 |         56 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\SubAtlas                                                                                                                        |          6 |         95 |         10 |        174 |        279 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\SubAtlas\Actor                                                                                                                  |          3 |         15 |          6 |         90 |        111 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure                                                                                                                     |         14 |        234 |         36 |        261 |        531 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Controller                                                                                                          |          1 |         48 |          4 |         37 |         89 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\IO                                                                                                                  |          2 |         21 |          0 |         27 |         48 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems                                                                                                             |         11 |        165 |         32 |        197 |        394 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer                                                                                                       |         10 |        151 |         32 |        177 |        360 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Actor                                                                                                 |          2 |         33 |         10 |         45 |         88 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Animation                                                                                             |          2 |         55 |          4 |         64 |        123 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Magic                                                                                                 |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Matrix                                                                                                |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Meat                                                                                                  |          2 |         47 |         14 |         44 |        105 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy                                                                                                                               |          2 |         17 |          2 |         22 |         41 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy\Controller                                                                                                                    |          1 |         15 |          2 |         18 |         35 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy\io                                                                                                                            |          1 |          2 |          0 |          4 |          6 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet                                                                                                                                |          6 |        250 |          9 |        182 |        441 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Controller                                                                                                                     |          1 |         28 |          9 |         31 |         68 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Entity Manager                                                                                                                 |          1 |         66 |          0 |         44 |        110 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Systems                                                                                                                        |          4 |        156 |          0 |        107 |        263 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player                                                                                                                                |         12 |        457 |         21 |        367 |        845 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Controller                                                                                                                     |          1 |         28 |          3 |         25 |         56 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems                                                                                                                        |         10 |        420 |         18 |        334 |        772 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input                                                                                                                  |          7 |        304 |         16 |        252 |        572 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input\PanicMode                                                                                                        |          7 |        304 |         16 |        252 |        572 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input\PanicMode\Interface FSM                                                                                          |          5 |        219 |         13 |        176 |        408 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input\PanicMode\PlayerMovement                                                                                         |          1 |         45 |          3 |         46 |         94 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\io                                                                                                                             |          1 |          9 |          0 |          8 |         17 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator                                                                                                                      |         12 |        219 |          8 |        182 |        409 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Controller                                                                                                           |          1 |         24 |          8 |         35 |         67 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager                                                                                                       |         11 |        195 |          0 |        147 |        342 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager\Events                                                                                                |          2 |          0 |          0 |          2 |          2 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager\SpaceSlots                                                                                            |          2 |         20 |          0 |         14 |         34 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager\SpaceSlots\Medium                                                                                     |          1 |         12 |          0 |          7 |         19 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager\SpaceSlots\Source                                                                                     |          1 |          8 |          0 |          7 |         15 |
| Workspaces\PatnicRoom\Src\Logic\Modules\007_Effect_Generator\Entity Manager\TriggerBasic                                                                                          |          1 |         21 |          0 |         16 |         37 |
