Date : 2021-05-26 08:08:11
Directory : c:\Users\Daniel\Documents\GitHub\PatnicRoom Developer Edition
Total : 707 files,  67319 codes, 1708 comments, 14390 blanks, all 83417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Workspaces\DioJSONes\Src\Frontend                                                                                                                                                   |         36 |      3,151 |          1 |        856 |      4,008 |
| Workspaces\DioJSONes\Src\Frontend\content creation                                                                                                                                  |         35 |      2,871 |          1 |        817 |      3,689 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Dynamic Generator                                                                                                                |          2 |         77 |          0 |         58 |        135 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms                                                                                                                            |         16 |      2,095 |          1 |        467 |      2,563 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Actors                                                                                                                     |          2 |        175 |          0 |         47 |        222 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect                                                                                                                     |          8 |        936 |          0 |        214 |      1,150 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Effect\SlotUnits                                                                                                           |          3 |        109 |          0 |         66 |        175 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear                                                                                                                       |          2 |        172 |          0 |         42 |        214 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Gear\Items                                                                                                                 |          2 |        172 |          0 |         42 |        214 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Forms\Kit                                                                                                                        |          3 |        806 |          1 |        157 |        964 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input                                                                                                                            |         13 |        423 |          0 |        204 |        627 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal                                                                                                     |         10 |        321 |          0 |        143 |        464 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Morphbox                                                                                            |          2 |         51 |          0 |         28 |         79 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Panel                                                                                               |          1 |         13 |          0 |         10 |         23 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\RTL                                                                                                 |          1 |         55 |          0 |         31 |         86 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\Slider                                                                                              |          2 |         47 |          0 |         12 |         59 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\InputModules universal\dictionary                                                                                          |          4 |        155 |          0 |         62 |        217 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect                                                                                                        |          3 |        102 |          0 |         61 |        163 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\MorphBox                                                                                               |          1 |         44 |          0 |         29 |         73 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Input\Inputmodules effect\TextRTL                                                                                                |          2 |         58 |          0 |         32 |         90 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows                                                                                                                             |          4 |        276 |          0 |         88 |        364 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Button                                                                                                                      |          1 |         72 |          0 |         16 |         88 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Optionbox                                                                                                                   |          2 |        126 |          0 |         60 |        186 |
| Workspaces\DioJSONes\Src\Frontend\content creation\Rows\Text                                                                                                                        |          1 |         78 |          0 |         12 |         90 |
| Workspaces\DioJSONes\Src\Frontend\content management                                                                                                                                |          1 |        280 |          0 |         39 |        319 |
| Workspaces\DioJSONes\Src\Frontend\content management\Browse                                                                                                                         |          1 |        280 |          0 |         39 |        319 |
| Workspaces\DioJSONes\Src\Single Scripts                                                                                                                                             |          4 |        156 |          0 |        100 |        256 |
| Workspaces\DioJSONes\Src\Util                                                                                                                                                       |          4 |         90 |          0 |         60 |        150 |
| Workspaces\DioJSONes\config                                                                                                                                                         |         11 |        789 |          0 |        185 |        974 |
| Workspaces\DioJSONes\config\Forms                                                                                                                                                   |          7 |        163 |          0 |         89 |        252 |
| Workspaces\DioJSONes\mongoDB                                                                                                                                                        |          1 |          6 |          0 |          3 |          9 |
| Workspaces\GameData                                                                                                                                                                 |         28 |        832 |          0 |        316 |      1,148 |
| Workspaces\GameData\Personal                                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| Workspaces\GameData\Stable                                                                                                                                                          |         27 |        831 |          0 |        316 |      1,147 |
| Workspaces\GameData\Stable\Actor_Attributes                                                                                                                                         |         16 |        377 |          0 |        125 |        502 |
| Workspaces\GameData\Stable\Actor_Attributes\Races                                                                                                                                   |          5 |        112 |          0 |         40 |        152 |
| Workspaces\GameData\Stable\Actor_Attributes\Roles                                                                                                                                   |          6 |        150 |          0 |         45 |        195 |
| Workspaces\GameData\Stable\Actor_Attributes\Specialties                                                                                                                             |          5 |        115 |          0 |         40 |        155 |
| Workspaces\GameData\Stable\Kits                                                                                                                                                     |         11 |        454 |          0 |        191 |        645 |
| Workspaces\GameData\Stable\Kits\Magic                                                                                                                                               |          4 |        174 |          0 |         81 |        255 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion                                                                                                                                      |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                                 |          1 |         45 |          0 |         20 |         65 |
| Workspaces\GameData\Stable\Kits\Magic\Spell                                                                                                                                         |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                                    |          3 |        129 |          0 |         61 |        190 |
| Workspaces\GameData\Stable\Kits\Matrix                                                                                                                                              |          6 |        236 |          0 |         91 |        327 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                                    |          2 |         89 |          0 |         21 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                               |          2 |         89 |          0 |         21 |        110 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack                                                                                                                                         |          4 |        147 |          0 |         70 |        217 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                                    |          3 |        119 |          0 |         64 |        183 |
| Workspaces\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                                     |          1 |         28 |          0 |          6 |         34 |
| Workspaces\GameData\Stable\Kits\Meat                                                                                                                                                |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun                                                                                                                                            |          1 |         44 |          0 |         19 |         63 |
| Workspaces\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                                       |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom                                                                                                                                                               |        488 |     46,012 |        964 |      9,205 |     56,181 |
| Workspaces\PatnicRoom\GameData                                                                                                                                                      |         28 |        832 |          0 |        316 |      1,148 |
| Workspaces\PatnicRoom\GameData\Personal                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| Workspaces\PatnicRoom\GameData\Stable                                                                                                                                               |         27 |        831 |          0 |        316 |      1,147 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes                                                                                                                              |         16 |        377 |          0 |        125 |        502 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Races                                                                                                                        |          5 |        112 |          0 |         40 |        152 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Roles                                                                                                                        |          6 |        150 |          0 |         45 |        195 |
| Workspaces\PatnicRoom\GameData\Stable\Actor_Attributes\Specialties                                                                                                                  |          5 |        115 |          0 |         40 |        155 |
| Workspaces\PatnicRoom\GameData\Stable\Kits                                                                                                                                          |         11 |        454 |          0 |        191 |        645 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic                                                                                                                                    |          4 |        174 |          0 |         81 |        255 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion                                                                                                                           |          1 |         45 |          0 |         20 |         65 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Infusion\Base                                                                                                                      |          1 |         45 |          0 |         20 |         65 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell                                                                                                                              |          3 |        129 |          0 |         61 |        190 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Magic\Spell\Base                                                                                                                         |          3 |        129 |          0 |         61 |        190 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix                                                                                                                                   |          6 |        236 |          0 |         91 |        327 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware                                                                                                                         |          2 |         89 |          0 |         21 |        110 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Cyberware\Base                                                                                                                    |          2 |         89 |          0 |         21 |        110 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack                                                                                                                              |          4 |        147 |          0 |         70 |        217 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Base                                                                                                                         |          3 |        119 |          0 |         64 |        183 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Matrix\Hack\Mod                                                                                                                          |          1 |         28 |          0 |          6 |         34 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat                                                                                                                                     |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun                                                                                                                                 |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\GameData\Stable\Kits\Meat\Gun\Base                                                                                                                            |          1 |         44 |          0 |         19 |         63 |
| Workspaces\PatnicRoom\Media                                                                                                                                                         |         26 |     10,771 |          0 |         15 |     10,786 |
| Workspaces\PatnicRoom\Media\FixedDays Font                                                                                                                                          |          4 |         22 |          0 |         11 |         33 |
| Workspaces\PatnicRoom\Media\TileMap                                                                                                                                                 |         13 |      1,515 |          0 |          1 |      1,516 |
| Workspaces\PatnicRoom\Media\TileMap\custome                                                                                                                                         |          7 |        847 |          0 |          1 |        848 |
| Workspaces\PatnicRoom\Media\Tilesets                                                                                                                                                |          9 |      9,234 |          0 |          3 |      9,237 |
| Workspaces\PatnicRoom\Media\Tilesets\JSON                                                                                                                                           |          8 |      7,091 |          0 |          0 |      7,091 |
| Workspaces\PatnicRoom\Meta                                                                                                                                                          |          1 |          5 |          0 |          5 |         10 |
| Workspaces\PatnicRoom\Src                                                                                                                                                           |        362 |     24,908 |        407 |      6,932 |     32,247 |
| Workspaces\PatnicRoom\Src\Bootstrap                                                                                                                                                 |         13 |      1,120 |         28 |        279 |      1,427 |
| Workspaces\PatnicRoom\Src\Bootstrap\Engines                                                                                                                                         |          3 |         34 |         11 |         35 |         80 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit                                                                                                                                        |          7 |        920 |          0 |        172 |      1,092 |
| Workspaces\PatnicRoom\Src\Bootstrap\GameInit\Submenues                                                                                                                              |          6 |        890 |          0 |        143 |      1,033 |
| Workspaces\PatnicRoom\Src\Bootstrap\Parameters                                                                                                                                      |          1 |         44 |         10 |         51 |        105 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework                                                                                                                                         |         57 |      1,254 |        214 |      1,037 |      2,505 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\ArisPROCGENes                                                                                                                           |          1 |          2 |          3 |         12 |         17 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS                                                                                                                              |         29 |        682 |        170 |        591 |      1,443 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities                                                                                                                     |         15 |        333 |        101 |        271 |        705 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Effect                                                                                                              |          3 |        103 |         23 |         80 |        206 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet                                                                                                              |          5 |         63 |         42 |         76 |        181 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\KitSet\Kit Modules                                                                                                  |          4 |         40 |         21 |         46 |        107 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Player                                                                                                              |          3 |         72 |          6 |         37 |        115 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Entities\Player\Belongings                                                                                                   |          2 |         34 |          0 |         16 |         50 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager                                                                                                                      |          8 |        228 |         39 |        194 |        461 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager                                                                                                        |          5 |        143 |         33 |        122 |        298 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Manager\EntityManager\types                                                                                                  |          3 |         24 |          5 |         35 |         64 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\Module Structure                                                                                                             |          2 |         66 |          6 |         77 |        149 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DemcorECTS\parts of Entities                                                                                                            |          3 |         43 |         17 |         43 |        103 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes                                                                                                                               |         12 |        246 |         11 |        187 |        444 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser                                                                                                                        |         11 |        238 |         10 |        179 |        427 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Common                                                                                                                 |          2 |         82 |          4 |         48 |        134 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect                                                                                                                 |          8 |        130 |          6 |        107 |        243 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts                                                                                                    |          7 |         91 |          6 |         89 |        186 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Effect\Effect Parts\Slots                                                                                              |          6 |         83 |          0 |         76 |        159 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\DioJSONes\Parser\Tilesets                                                                                                               |          1 |         26 |          0 |         24 |         50 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL                                                                                                                                   |          6 |         40 |          0 |         36 |         76 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Condition                                                                                                                         |          3 |         16 |          0 |         18 |         34 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Rulesets                                                                                                                          |          1 |          5 |          0 |          2 |          7 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\HeGEL\Stats                                                                                                                             |          1 |          5 |          0 |          6 |         11 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SYNTAX                                                                                                                                  |          2 |         64 |          7 |         40 |        111 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs                                                                                                                              |          7 |        220 |         23 |        171 |        414 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork                                                                                                                    |          6 |        169 |         21 |        146 |        336 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\Chunk Visualicer                                                                                                   |          5 |         96 |          0 |         88 |        184 |
| Workspaces\PatnicRoom\Src\Cogsmos Framework\SokraTILEs\FrameWork\TilemapParse                                                                                                       |          1 |         73 |         21 |         58 |        152 |
| Workspaces\PatnicRoom\Src\Components                                                                                                                                                |         80 |      1,555 |          8 |        521 |      2,084 |
| Workspaces\PatnicRoom\Src\Components\Flags                                                                                                                                          |          8 |        122 |          0 |         38 |        160 |
| Workspaces\PatnicRoom\Src\Components\Injected Comp                                                                                                                                  |          1 |         54 |          8 |          5 |         67 |
| Workspaces\PatnicRoom\Src\Logic                                                                                                                                                     |        113 |      2,759 |        146 |      2,144 |      5,049 |
| Workspaces\PatnicRoom\Src\Logic\Modules                                                                                                                                             |         91 |      2,021 |        139 |      1,764 |      3,924 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas                                                                                                                                   |          7 |        128 |         13 |        194 |        335 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\Controller                                                                                                                        |          1 |         33 |          3 |         20 |         56 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\SubAtlas                                                                                                                          |          6 |         95 |         10 |        174 |        279 |
| Workspaces\PatnicRoom\Src\Logic\Modules\001_Atlas\SubAtlas\Actor                                                                                                                    |          3 |         15 |          6 |         90 |        111 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure                                                                                                                       |         14 |        234 |         36 |        261 |        531 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Controller                                                                                                            |          1 |         48 |          4 |         37 |         89 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\IO                                                                                                                    |          2 |         21 |          0 |         27 |         48 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems                                                                                                               |         11 |        165 |         32 |        197 |        394 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer                                                                                                         |         10 |        151 |         32 |        177 |        360 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Actor                                                                                                   |          2 |         33 |         10 |         45 |         88 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Animation                                                                                               |          2 |         55 |          4 |         64 |        123 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Magic                                                                                                   |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Matrix                                                                                                  |          2 |          8 |          2 |         12 |         22 |
| Workspaces\PatnicRoom\Src\Logic\Modules\002_Tilemap_Structure\Systems\Layer\Meat                                                                                                    |          2 |         47 |         14 |         44 |        105 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy                                                                                                                                 |          2 |         17 |          2 |         22 |         41 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy\Controller                                                                                                                      |          1 |         15 |          2 |         18 |         35 |
| Workspaces\PatnicRoom\Src\Logic\Modules\003_Entropy\io                                                                                                                              |          1 |          2 |          0 |          4 |          6 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet                                                                                                                                  |          6 |        250 |          9 |        182 |        441 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Controller                                                                                                                       |          1 |         28 |          9 |         31 |         68 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Entity Manager                                                                                                                   |          1 |         66 |          0 |         44 |        110 |
| Workspaces\PatnicRoom\Src\Logic\Modules\004_KitSet\Systems                                                                                                                          |          4 |        156 |          0 |        107 |        263 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player                                                                                                                                  |         12 |        464 |         22 |        363 |        849 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Controller                                                                                                                       |          1 |         28 |          4 |         24 |         56 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems                                                                                                                          |         10 |        427 |         18 |        331 |        776 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input                                                                                                                    |          7 |        311 |         16 |        249 |        576 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input\PanicMode                                                                                                          |          7 |        311 |         16 |        249 |        576 |
| Workspaces\PatnicRoom\Src\Logic\Modules\006_Player\Systems\Input\PanicMode\Interface FSM                                                                                            |          5 |        226 |         13 |        173 |        412 |
